district,date,day_of_week,month,is_weekend,is_holiday,holiday_name,holiday_proximity,season,district_type,waste_kg
Bhaktapur,2024-01-02,1,1,0,0,,13,winter,commercial,2458.1
Madhyapur Thimi,2024-01-02,1,1,0,0,,13,winter,residential,1845.1
Suryabinayak,2024-01-02,1,1,0,0,,13,winter,suburban,757.2
Changunarayan,2024-01-02,1,1,0,0,,13,winter,rural,416.1
Nagarkot,2024-01-02,1,1,0,0,,13,winter,rural,322.4
Kathmandu-Core,2024-01-03,2,1,0,0,,12,winter,commercial,4408.9
Baneshwor,2024-01-03,2,1,0,0,,12,winter,commercial,3306.6
Koteshwor,2024-01-03,2,1,0,0,,12,winter,commercial,3017.5
Balaju,2024-01-03,2,1,0,0,,12,winter,residential,1908.5
Maharajgunj,2024-01-03,2,1,0,0,,12,winter,residential,1480.6
Budhanilkantha,2024-01-03,2,1,0,0,,12,winter,suburban,986.7
Tokha,2024-01-03,2,1,0,0,,12,winter,suburban,850.3
Chandragiri,2024-01-03,2,1,0,0,,12,winter,rural,608.5
Lalitpur,2024-01-03,2,1,0,0,,12,winter,commercial,3561.0
Satdobato,2024-01-03,2,1,0,0,,12,winter,commercial,2128.8
Kirtipur,2024-01-03,2,1,0,0,,12,winter,residential,1683.0
Imadol,2024-01-03,2,1,0,0,,12,winter,residential,1373.5
Lubhu,2024-01-03,2,1,0,0,,12,winter,suburban,744.2
Godawari,2024-01-03,2,1,0,0,,12,winter,rural,483.0
Dakshinkali,2024-01-03,2,1,0,0,,12,winter,rural,404.5
Bhaktapur,2024-01-03,2,1,0,0,,12,winter,commercial,3201.9
Madhyapur Thimi,2024-01-03,2,1,0,0,,12,winter,residential,1618.7
Suryabinayak,2024-01-03,2,1,0,0,,12,winter,suburban,953.3
Changunarayan,2024-01-03,2,1,0,0,,12,winter,rural,514.7
Nagarkot,2024-01-03,2,1,0,0,,12,winter,rural,351.9
Kathmandu-Core,2024-01-04,3,1,0,0,,11,winter,commercial,3817.1
Baneshwor,2024-01-04,3,1,0,0,,11,winter,commercial,3167.8
Koteshwor,2024-01-04,3,1,0,0,,11,winter,commercial,2653.8
Balaju,2024-01-04,3,1,0,0,,11,winter,residential,1695.8
Maharajgunj,2024-01-04,3,1,0,0,,11,winter,residential,1975.5
Budhanilkantha,2024-01-04,3,1,0,0,,11,winter,suburban,1255.8
Tokha,2024-01-04,3,1,0,0,,11,winter,suburban,892.2
Chandragiri,2024-01-04,3,1,0,0,,11,winter,rural,605.0
Lalitpur,2024-01-04,3,1,0,0,,11,winter,commercial,3568.4
Satdobato,2024-01-04,3,1,0,0,,11,winter,commercial,2491.0
Kirtipur,2024-01-04,3,1,0,0,,11,winter,residential,1690.3
Imadol,2024-01-04,3,1,0,0,,11,winter,residential,1705.8
Lubhu,2024-01-04,3,1,0,0,,11,winter,suburban,806.5
Godawari,2024-01-04,3,1,0,0,,11,winter,rural,534.5
Dakshinkali,2024-01-04,3,1,0,0,,11,winter,rural,252.0
Bhaktapur,2024-01-04,3,1,0,0,,11,winter,commercial,3164.0
Madhyapur Thimi,2024-01-04,3,1,0,0,,11,winter,residential,1818.8
Suryabinayak,2024-01-04,3,1,0,0,,11,winter,suburban,954.5
Changunarayan,2024-01-04,3,1,0,0,,11,winter,rural,500.5
Nagarkot,2024-01-04,3,1,0,0,,11,winter,rural,239.9
Kathmandu-Core,2024-01-05,4,1,0,0,,10,winter,commercial,4258.7
Baneshwor,2024-01-05,4,1,0,0,,10,winter,commercial,3649.2
Koteshwor,2024-01-05,4,1,0,0,,10,winter,commercial,3890.9
Balaju,2024-01-05,4,1,0,0,,10,winter,residential,2005.4
Maharajgunj,2024-01-05,4,1,0,0,,10,winter,residential,1755.4
Budhanilkantha,2024-01-05,4,1,0,0,,10,winter,suburban,1096.2
Tokha,2024-01-05,4,1,0,0,,10,winter,suburban,1078.8
Chandragiri,2024-01-05,4,1,0,0,,10,winter,rural,606.2
Lalitpur,2024-01-05,4,1,0,0,,10,winter,commercial,3458.8
Satdobato,2024-01-05,4,1,0,0,,10,winter,commercial,3095.6
Kirtipur,2024-01-05,4,1,0,0,,10,winter,residential,1770.0
Imadol,2024-01-05,4,1,0,0,,10,winter,residential,1736.0
Lubhu,2024-01-05,4,1,0,0,,10,winter,suburban,801.1
Godawari,2024-01-05,4,1,0,0,,10,winter,rural,466.9
Dakshinkali,2024-01-05,4,1,0,0,,10,winter,rural,370.5
Bhaktapur,2024-01-05,4,1,0,0,,10,winter,commercial,2564.1
Madhyapur Thimi,2024-01-05,4,1,0,0,,10,winter,residential,2013.1
Suryabinayak,2024-01-05,4,1,0,0,,10,winter,suburban,1102.7
Changunarayan,2024-01-05,4,1,0,0,,10,winter,rural,534.9
Nagarkot,2024-01-05,4,1,0,0,,10,winter,rural,330.6
Kathmandu-Core,2024-01-06,5,1,1,0,,9,winter,commercial,2857.8
Baneshwor,2024-01-06,5,1,1,0,,9,winter,commercial,2707.3
Koteshwor,2024-01-06,5,1,1,0,,9,winter,commercial,2640.7
Balaju,2024-01-06,5,1,1,0,,9,winter,residential,2057.8
Maharajgunj,2024-01-06,5,1,1,0,,9,winter,residential,1941.7
Budhanilkantha,2024-01-06,5,1,1,0,,9,winter,suburban,1245.6
Tokha,2024-01-06,5,1,1,0,,9,winter,suburban,1214.1
Chandragiri,2024-01-06,5,1,1,0,,9,winter,rural,578.9
Lalitpur,2024-01-06,5,1,1,0,,9,winter,commercial,3173.1
Satdobato,2024-01-06,5,1,1,0,,9,winter,commercial,2461.8
Kirtipur,2024-01-06,5,1,1,0,,9,winter,residential,1496.4
Imadol,2024-01-06,5,1,1,0,,9,winter,residential,1693.8
Lubhu,2024-01-06,5,1,1,0,,9,winter,suburban,881.1
Godawari,2024-01-06,5,1,1,0,,9,winter,rural,670.5
Dakshinkali,2024-01-06,5,1,1,0,,9,winter,rural,439.6
Bhaktapur,2024-01-06,5,1,1,0,,9,winter,commercial,3282.6
Madhyapur Thimi,2024-01-06,5,1,1,0,,9,winter,residential,2061.4
Suryabinayak,2024-01-06,5,1,1,0,,9,winter,suburban,953.3
Changunarayan,2024-01-06,5,1,1,0,,9,winter,rural,675.5
Nagarkot,2024-01-06,5,1,1,0,,9,winter,rural,446.4
Kathmandu-Core,2024-01-07,6,1,1,0,,8,winter,commercial,3769.3
Baneshwor,2024-01-07,6,1,1,0,,8,winter,commercial,2540.1
Koteshwor,2024-01-07,6,1,1,0,,8,winter,commercial,3217.6
Balaju,2024-01-07,6,1,1,0,,8,winter,residential,1894.0
Maharajgunj,2024-01-07,6,1,1,0,,8,winter,residential,2119.4
Budhanilkantha,2024-01-07,6,1,1,0,,8,winter,suburban,1500.3
Tokha,2024-01-07,6,1,1,0,,8,winter,suburban,872.3
Chandragiri,2024-01-07,6,1,1,0,,8,winter,rural,528.5
Lalitpur,2024-01-07,6,1,1,0,,8,winter,commercial,3114.8
Satdobato,2024-01-07,6,1,1,0,,8,winter,commercial,2333.9
Kirtipur,2024-01-07,6,1,1,0,,8,winter,residential,1582.3
Imadol,2024-01-07,6,1,1,0,,8,winter,residential,1713.2
Lubhu,2024-01-07,6,1,1,0,,8,winter,suburban,763.3
Godawari,2024-01-07,6,1,1,0,,8,winter,rural,546.9
Dakshinkali,2024-01-07,6,1,1,0,,8,winter,rural,400.4
Bhaktapur,2024-01-07,6,1,1,0,,8,winter,commercial,3757.2
Madhyapur Thimi,2024-01-07,6,1,1,0,,8,winter,residential,1875.4
Suryabinayak,2024-01-07,6,1,1,0,,8,winter,suburban,1065.9
Changunarayan,2024-01-07,6,1,1,0,,8,winter,rural,652.0
Nagarkot,2024-01-07,6,1,1,0,,8,winter,rural,349.0
Kathmandu-Core,2024-01-08,0,1,0,0,,7,winter,commercial,3952.5
Baneshwor,2024-01-08,0,1,0,0,,7,winter,commercial,3560.8
Koteshwor,2024-01-08,0,1,0,0,,7,winter,commercial,2346.2
Balaju,2024-01-08,0,1,0,0,,7,winter,residential,1922.7
Maharajgunj,2024-01-08,0,1,0,0,,7,winter,residential,1763.3
Budhanilkantha,2024-01-08,0,1,0,0,,7,winter,suburban,1122.3
Tokha,2024-01-08,0,1,0,0,,7,winter,suburban,728.1
Chandragiri,2024-01-08,0,1,0,0,,7,winter,rural,431.7
Lalitpur,2024-01-08,0,1,0,0,,7,winter,commercial,3452.5
Satdobato,2024-01-08,0,1,0,0,,7,winter,commercial,2656.4
Kirtipur,2024-01-08,0,1,0,0,,7,winter,residential,1585.3
Imadol,2024-01-08,0,1,0,0,,7,winter,residential,1424.9
Lubhu,2024-01-08,0,1,0,0,,7,winter,suburban,706.7
Godawari,2024-01-08,0,1,0,0,,7,winter,rural,439.4
Dakshinkali,2024-01-08,0,1,0,0,,7,winter,rural,354.0
Bhaktapur,2024-01-08,0,1,0,0,,7,winter,commercial,2501.5
Madhyapur Thimi,2024-01-08,0,1,0,0,,7,winter,residential,2092.9
Suryabinayak,2024-01-08,0,1,0,0,,7,winter,suburban,994.0
Changunarayan,2024-01-08,0,1,0,0,,7,winter,rural,403.0
Nagarkot,2024-01-08,0,1,0,0,,7,winter,rural,322.8
Kathmandu-Core,2024-01-09,1,1,0,0,,6,winter,commercial,3576.3
Baneshwor,2024-01-09,1,1,0,0,,6,winter,commercial,3546.0
Koteshwor,2024-01-09,1,1,0,0,,6,winter,commercial,3485.4
Balaju,2024-01-09,1,1,0,0,,6,winter,residential,1785.0
Maharajgunj,2024-01-09,1,1,0,0,,6,winter,residential,2008.1
Budhanilkantha,2024-01-09,1,1,0,0,,6,winter,suburban,1133.5
Tokha,2024-01-09,1,1,0,0,,6,winter,suburban,988.8
Chandragiri,2024-01-09,1,1,0,0,,6,winter,rural,662.9
Lalitpur,2024-01-09,1,1,0,0,,6,winter,commercial,3319.3
Satdobato,2024-01-09,1,1,0,0,,6,winter,commercial,2455.8
Kirtipur,2024-01-09,1,1,0,0,,6,winter,residential,1447.1
Imadol,2024-01-09,1,1,0,0,,6,winter,residential,1299.0
Lubhu,2024-01-09,1,1,0,0,,6,winter,suburban,802.5
Godawari,2024-01-09,1,1,0,0,,6,winter,rural,468.4
Dakshinkali,2024-01-09,1,1,0,0,,6,winter,rural,372.0
Bhaktapur,2024-01-09,1,1,0,0,,6,winter,commercial,3165.9
Madhyapur Thimi,2024-01-09,1,1,0,0,,6,winter,residential,1802.8
Suryabinayak,2024-01-09,1,1,0,0,,6,winter,suburban,1162.7
Changunarayan,2024-01-09,1,1,0,0,,6,winter,rural,479.3
Nagarkot,2024-01-09,1,1,0,0,,6,winter,rural,409.5
Kathmandu-Core,2024-01-10,2,1,0,0,,5,winter,commercial,4354.1
Baneshwor,2024-01-10,2,1,0,0,,5,winter,commercial,2906.7
Koteshwor,2024-01-10,2,1,0,0,,5,winter,commercial,2666.8
Balaju,2024-01-10,2,1,0,0,,5,winter,residential,2094.6
Maharajgunj,2024-01-10,2,1,0,0,,5,winter,residential,1751.7
Budhanilkantha,2024-01-10,2,1,0,0,,5,winter,suburban,1172.5
Tokha,2024-01-10,2,1,0,0,,5,winter,suburban,951.1
Chandragiri,2024-01-10,2,1,0,0,,5,winter,rural,535.3
Lalitpur,2024-01-10,2,1,0,0,,5,winter,commercial,3072.5
Satdobato,2024-01-10,2,1,0,0,,5,winter,commercial,2209.2
Kirtipur,2024-01-10,2,1,0,0,,5,winter,residential,1533.2
Imadol,2024-01-10,2,1,0,0,,5,winter,residential,1588.0
Lubhu,2024-01-10,2,1,0,0,,5,winter,suburban,830.8
Godawari,2024-01-10,2,1,0,0,,5,winter,rural,382.7
Dakshinkali,2024-01-10,2,1,0,0,,5,winter,rural,367.5
Bhaktapur,2024-01-10,2,1,0,0,,5,winter,commercial,3013.2
Madhyapur Thimi,2024-01-10,2,1,0,0,,5,winter,residential,1609.1
Suryabinayak,2024-01-10,2,1,0,0,,5,winter,suburban,1008.3
Changunarayan,2024-01-10,2,1,0,0,,5,winter,rural,498.5
Nagarkot,2024-01-10,2,1,0,0,,5,winter,rural,271.8
Kathmandu-Core,2024-01-11,3,1,0,0,,4,winter,commercial,4223.9
Baneshwor,2024-01-11,3,1,0,0,,4,winter,commercial,3458.0
Koteshwor,2024-01-11,3,1,0,0,,4,winter,commercial,3457.7
Balaju,2024-01-11,3,1,0,0,,4,winter,residential,2230.4
Maharajgunj,2024-01-11,3,1,0,0,,4,winter,residential,1502.4
Budhanilkantha,2024-01-11,3,1,0,0,,4,winter,suburban,958.5
Tokha,2024-01-11,3,1,0,0,,4,winter,suburban,955.6
Chandragiri,2024-01-11,3,1,0,0,,4,winter,rural,573.3
Lalitpur,2024-01-11,3,1,0,0,,4,winter,commercial,3631.4
Satdobato,2024-01-11,3,1,0,0,,4,winter,commercial,3510.0
Kirtipur,2024-01-11,3,1,0,0,,4,winter,residential,1731.0
Imadol,2024-01-11,3,1,0,0,,4,winter,residential,1636.2
Lubhu,2024-01-11,3,1,0,0,,4,winter,suburban,902.7
Godawari,2024-01-11,3,1,0,0,,4,winter,rural,485.2
Dakshinkali,2024-01-11,3,1,0,0,,4,winter,rural,346.4
Bhaktapur,2024-01-11,3,1,0,0,,4,winter,commercial,3142.3
Madhyapur Thimi,2024-01-11,3,1,0,0,,4,winter,residential,1633.1
Suryabinayak,2024-01-11,3,1,0,0,,4,winter,suburban,961.9
Changunarayan,2024-01-11,3,1,0,0,,4,winter,rural,466.2
Nagarkot,2024-01-11,3,1,0,0,,4,winter,rural,318.1
Kathmandu-Core,2024-01-12,4,1,0,0,,3,winter,commercial,5588.9
Baneshwor,2024-01-12,4,1,0,0,,3,winter,commercial,2715.1
Koteshwor,2024-01-12,4,1,0,0,,3,winter,commercial,3577.0
Balaju,2024-01-12,4,1,0,0,,3,winter,residential,1724.6
Maharajgunj,2024-01-12,4,1,0,0,,3,winter,residential,1833.9
Budhanilkantha,2024-01-12,4,1,0,0,,3,winter,suburban,1318.8
Tokha,2024-01-12,4,1,0,0,,3,winter,suburban,979.5
Chandragiri,2024-01-12,4,1,0,0,,3,winter,rural,507.8
Lalitpur,2024-01-12,4,1,0,0,,3,winter,commercial,3376.6
Satdobato,2024-01-12,4,1,0,0,,3,winter,commercial,3153.8
Kirtipur,2024-01-12,4,1,0,0,,3,winter,residential,1596.3
Imadol,2024-01-12,4,1,0,0,,3,winter,residential,1595.6
Lubhu,2024-01-12,4,1,0,0,,3,winter,suburban,879.6
Godawari,2024-01-12,4,1,0,0,,3,winter,rural,448.0
Dakshinkali,2024-01-12,4,1,0,0,,3,winter,rural,488.8
Bhaktapur,2024-01-12,4,1,0,0,,3,winter,commercial,3347.0
Madhyapur Thimi,2024-01-12,4,1,0,0,,3,winter,residential,1471.6
Suryabinayak,2024-01-12,4,1,0,0,,3,winter,suburban,1093.1
Changunarayan,2024-01-12,4,1,0,0,,3,winter,rural,492.1
Nagarkot,2024-01-12,4,1,0,0,,3,winter,rural,375.0
Kathmandu-Core,2024-01-13,5,1,1,0,,2,winter,commercial,4049.6
Baneshwor,2024-01-13,5,1,1,0,,2,winter,commercial,3655.5
Koteshwor,2024-01-13,5,1,1,0,,2,winter,commercial,3797.2
Balaju,2024-01-13,5,1,1,0,,2,winter,residential,3267.6
Maharajgunj,2024-01-13,5,1,1,0,,2,winter,residential,2203.3
Budhanilkantha,2024-01-13,5,1,1,0,,2,winter,suburban,1482.4
Tokha,2024-01-13,5,1,1,0,,2,winter,suburban,1213.6
Chandragiri,2024-01-13,5,1,1,0,,2,winter,rural,679.3
Lalitpur,2024-01-13,5,1,1,0,,2,winter,commercial,4849.1
Satdobato,2024-01-13,5,1,1,0,,2,winter,commercial,3386.1
Kirtipur,2024-01-13,5,1,1,0,,2,winter,residential,2144.8
Imadol,2024-01-13,5,1,1,0,,2,winter,residential,2452.3
Lubhu,2024-01-13,5,1,1,0,,2,winter,suburban,1426.8
Godawari,2024-01-13,5,1,1,0,,2,winter,rural,756.1
Dakshinkali,2024-01-13,5,1,1,0,,2,winter,rural,478.3
Bhaktapur,2024-01-13,5,1,1,0,,2,winter,commercial,3879.1
Madhyapur Thimi,2024-01-13,5,1,1,0,,2,winter,residential,3100.1
Suryabinayak,2024-01-13,5,1,1,0,,2,winter,suburban,1319.0
Changunarayan,2024-01-13,5,1,1,0,,2,winter,rural,813.3
Nagarkot,2024-01-13,5,1,1,0,,2,winter,rural,581.8
Kathmandu-Core,2024-01-14,6,1,1,0,,1,winter,commercial,3977.5
Baneshwor,2024-01-14,6,1,1,0,,1,winter,commercial,3680.1
Koteshwor,2024-01-14,6,1,1,0,,1,winter,commercial,2506.1
Balaju,2024-01-14,6,1,1,0,,1,winter,residential,2596.2
Maharajgunj,2024-01-14,6,1,1,0,,1,winter,residential,2496.0
Budhanilkantha,2024-01-14,6,1,1,0,,1,winter,suburban,1313.2
Tokha,2024-01-14,6,1,1,0,,1,winter,suburban,1539.1
Chandragiri,2024-01-14,6,1,1,0,,1,winter,rural,610.6
Lalitpur,2024-01-14,6,1,1,0,,1,winter,commercial,3790.1
Satdobato,2024-01-14,6,1,1,0,,1,winter,commercial,3279.9
Kirtipur,2024-01-14,6,1,1,0,,1,winter,residential,2964.3
Imadol,2024-01-14,6,1,1,0,,1,winter,residential,1828.3
Lubhu,2024-01-14,6,1,1,0,,1,winter,suburban,1296.0
Godawari,2024-01-14,6,1,1,0,,1,winter,rural,673.6
Dakshinkali,2024-01-14,6,1,1,0,,1,winter,rural,516.1
Bhaktapur,2024-01-14,6,1,1,0,,1,winter,commercial,4346.8
Madhyapur Thimi,2024-01-14,6,1,1,0,,1,winter,residential,2755.3
Suryabinayak,2024-01-14,6,1,1,0,,1,winter,suburban,1337.6
Changunarayan,2024-01-14,6,1,1,0,,1,winter,rural,778.7
Nagarkot,2024-01-14,6,1,1,0,,1,winter,rural,507.7
Kathmandu-Core,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,commercial,5849.9
Baneshwor,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,commercial,4983.8
Koteshwor,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,commercial,5190.4
Balaju,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,residential,2402.4
Maharajgunj,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,residential,3221.5
Budhanilkantha,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,suburban,1178.5
Tokha,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,suburban,1259.1
Chandragiri,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,rural,823.8
Lalitpur,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,commercial,5037.8
Satdobato,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,commercial,3560.0
Kirtipur,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,residential,2250.8
Imadol,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,residential,1930.6
Lubhu,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,suburban,1072.6
Godawari,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,rural,706.6
Dakshinkali,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,rural,535.0
Bhaktapur,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,commercial,3762.8
Madhyapur Thimi,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,residential,2841.9
Suryabinayak,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,suburban,1462.8
Changunarayan,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,rural,774.2
Nagarkot,2024-01-15,0,1,0,1,Maghe Sankranti,0,winter,rural,482.8
Kathmandu-Core,2024-01-16,1,1,0,0,,1,winter,commercial,4741.2
Baneshwor,2024-01-16,1,1,0,0,,1,winter,commercial,3928.9
Koteshwor,2024-01-16,1,1,0,0,,1,winter,commercial,4334.7
Balaju,2024-01-16,1,1,0,0,,1,winter,residential,2762.5
Maharajgunj,2024-01-16,1,1,0,0,,1,winter,residential,2334.1
Budhanilkantha,2024-01-16,1,1,0,0,,1,winter,suburban,1423.8
Tokha,2024-01-16,1,1,0,0,,1,winter,suburban,1349.4
Chandragiri,2024-01-16,1,1,0,0,,1,winter,rural,652.2
Lalitpur,2024-01-16,1,1,0,0,,1,winter,commercial,4737.9
Satdobato,2024-01-16,1,1,0,0,,1,winter,commercial,3424.8
Kirtipur,2024-01-16,1,1,0,0,,1,winter,residential,2051.0
Imadol,2024-01-16,1,1,0,0,,1,winter,residential,2118.8
Lubhu,2024-01-16,1,1,0,0,,1,winter,suburban,1157.3
Godawari,2024-01-16,1,1,0,0,,1,winter,rural,642.1
Dakshinkali,2024-01-16,1,1,0,0,,1,winter,rural,541.3
Bhaktapur,2024-01-16,1,1,0,0,,1,winter,commercial,3753.4
Madhyapur Thimi,2024-01-16,1,1,0,0,,1,winter,residential,2531.5
Suryabinayak,2024-01-16,1,1,0,0,,1,winter,suburban,1239.1
Changunarayan,2024-01-16,1,1,0,0,,1,winter,rural,668.5
Nagarkot,2024-01-16,1,1,0,0,,1,winter,rural,403.1
Kathmandu-Core,2024-01-17,2,1,0,0,,2,winter,commercial,5326.3
Baneshwor,2024-01-17,2,1,0,0,,2,winter,commercial,4512.8
Koteshwor,2024-01-17,2,1,0,0,,2,winter,commercial,3587.4
Balaju,2024-01-17,2,1,0,0,,2,winter,residential,3220.3
Maharajgunj,2024-01-17,2,1,0,0,,2,winter,residential,2057.5
Budhanilkantha,2024-01-17,2,1,0,0,,2,winter,suburban,1199.4
Tokha,2024-01-17,2,1,0,0,,2,winter,suburban,1332.6
Chandragiri,2024-01-17,2,1,0,0,,2,winter,rural,768.7
Lalitpur,2024-01-17,2,1,0,0,,2,winter,commercial,4779.0
Satdobato,2024-01-17,2,1,0,0,,2,winter,commercial,3774.7
Kirtipur,2024-01-17,2,1,0,0,,2,winter,residential,2102.9
Imadol,2024-01-17,2,1,0,0,,2,winter,residential,1670.4
Lubhu,2024-01-17,2,1,0,0,,2,winter,suburban,1062.6
Godawari,2024-01-17,2,1,0,0,,2,winter,rural,537.5
Dakshinkali,2024-01-17,2,1,0,0,,2,winter,rural,522.8
Bhaktapur,2024-01-17,2,1,0,0,,2,winter,commercial,3677.9
Madhyapur Thimi,2024-01-17,2,1,0,0,,2,winter,residential,2108.2
Suryabinayak,2024-01-17,2,1,0,0,,2,winter,suburban,1237.4
Changunarayan,2024-01-17,2,1,0,0,,2,winter,rural,675.4
Nagarkot,2024-01-17,2,1,0,0,,2,winter,rural,381.8
Kathmandu-Core,2024-01-18,3,1,0,0,,3,winter,commercial,3650.4
Baneshwor,2024-01-18,3,1,0,0,,3,winter,commercial,3334.7
Koteshwor,2024-01-18,3,1,0,0,,3,winter,commercial,3150.0
Balaju,2024-01-18,3,1,0,0,,3,winter,residential,1859.6
Maharajgunj,2024-01-18,3,1,0,0,,3,winter,residential,1698.3
Budhanilkantha,2024-01-18,3,1,0,0,,3,winter,suburban,1110.1
Tokha,2024-01-18,3,1,0,0,,3,winter,suburban,743.6
Chandragiri,2024-01-18,3,1,0,0,,3,winter,rural,448.8
Lalitpur,2024-01-18,3,1,0,0,,3,winter,commercial,3125.2
Satdobato,2024-01-18,3,1,0,0,,3,winter,commercial,2630.8
Kirtipur,2024-01-18,3,1,0,0,,3,winter,residential,1680.4
Imadol,2024-01-18,3,1,0,0,,3,winter,residential,1694.9
Lubhu,2024-01-18,3,1,0,0,,3,winter,suburban,893.4
Godawari,2024-01-18,3,1,0,0,,3,winter,rural,441.4
Dakshinkali,2024-01-18,3,1,0,0,,3,winter,rural,359.2
Bhaktapur,2024-01-18,3,1,0,0,,3,winter,commercial,2533.5
Madhyapur Thimi,2024-01-18,3,1,0,0,,3,winter,residential,1796.0
Suryabinayak,2024-01-18,3,1,0,0,,3,winter,suburban,955.7
Changunarayan,2024-01-18,3,1,0,0,,3,winter,rural,514.2
Nagarkot,2024-01-18,3,1,0,0,,3,winter,rural,283.7
Kathmandu-Core,2024-01-19,4,1,0,0,,4,winter,commercial,4646.6
Baneshwor,2024-01-19,4,1,0,0,,4,winter,commercial,4142.8
Koteshwor,2024-01-19,4,1,0,0,,4,winter,commercial,3261.7
Balaju,2024-01-19,4,1,0,0,,4,winter,residential,2241.5
Maharajgunj,2024-01-19,4,1,0,0,,4,winter,residential,2105.0
Budhanilkantha,2024-01-19,4,1,0,0,,4,winter,suburban,1110.2
Tokha,2024-01-19,4,1,0,0,,4,winter,suburban,998.1
Chandragiri,2024-01-19,4,1,0,0,,4,winter,rural,584.1
Lalitpur,2024-01-19,4,1,0,0,,4,winter,commercial,3736.9
Satdobato,2024-01-19,4,1,0,0,,4,winter,commercial,2645.5
Kirtipur,2024-01-19,4,1,0,0,,4,winter,residential,1754.7
Imadol,2024-01-19,4,1,0,0,,4,winter,residential,1648.1
Lubhu,2024-01-19,4,1,0,0,,4,winter,suburban,1027.1
Godawari,2024-01-19,4,1,0,0,,4,winter,rural,541.9
Dakshinkali,2024-01-19,4,1,0,0,,4,winter,rural,489.3
Bhaktapur,2024-01-19,4,1,0,0,,4,winter,commercial,2824.0
Madhyapur Thimi,2024-01-19,4,1,0,0,,4,winter,residential,2147.5
